doc_id,doc_title,collection_dir,collection_code,collection_name,collection_label,work_code,work_title_hint,character,char_id,degree,weighted_degree,degree_centrality,strength_centrality,derived_by
pdf_01000000__01001010___86bc12e35b,黄金台,01000000,1000000,《戏考》,《戏考》（1000000）,01001010,黄金台,田单,pdf_01000000__01001010___86bc12e35b__char__fe7c70a614,10,51,1.0,1.0,relations_aggregated
pdf_01000000__01001010___86bc12e35b,黄金台,01000000,1000000,《戏考》,《戏考》（1000000）,01001010,黄金台,伊立,pdf_01000000__01001010___86bc12e35b__char__94bd019a29,8,34,0.8,0.6667,relations_aggregated
pdf_01000000__01001010___86bc12e35b,黄金台,01000000,1000000,《戏考》,《戏考》（1000000）,01001010,黄金台,田法章,pdf_01000000__01001010___86bc12e35b__char__984a448e54,6,31,0.6,0.6078,relations_aggregated
pdf_01000000__01001010___86bc12e35b,黄金台,01000000,1000000,《戏考》,《戏考》（1000000）,01001010,黄金台,乳娘,pdf_01000000__01001010___86bc12e35b__char__22dd1b86ee,6,19,0.6,0.3725,relations_aggregated
pdf_01000000__01001010___86bc12e35b,黄金台,01000000,1000000,《戏考》,《戏考》（1000000）,01001010,黄金台,二衙役,pdf_01000000__01001010___86bc12e35b__char__9b2d57f271,3,7,0.3,0.1373,relations_aggregated
pdf_01000000__01001010___86bc12e35b,黄金台,01000000,1000000,《戏考》,《戏考》（1000000）,01001010,黄金台,四校尉,pdf_01000000__01001010___86bc12e35b__char__5b35f948cb,2,3,0.2,0.0588,relations_aggregated
pdf_01000000__01001010___86bc12e35b,黄金台,01000000,1000000,《戏考》,《戏考》（1000000）,01001010,黄金台,家院,pdf_01000000__01001010___86bc12e35b__char__ee14a52174,2,4,0.2,0.0784,relations_aggregated
pdf_01000000__01001010___86bc12e35b,黄金台,01000000,1000000,《戏考》,《戏考》（1000000）,01001010,黄金台,衙役甲,pdf_01000000__01001010___86bc12e35b__char__79ec311ca9,2,3,0.2,0.0588,relations_aggregated
pdf_01000000__01001010___86bc12e35b,黄金台,01000000,1000000,《戏考》,《戏考》（1000000）,01001010,黄金台,衙役乙,pdf_01000000__01001010___86bc12e35b__char__e08c12ae46,1,2,0.1,0.0392,relations_aggregated
pdf_01000000__01001011___b32a64375f,文昭关,01000000,1000000,《戏考》,《戏考》（1000000）,01001011,文昭关,东皋公,pdf_01000000__01001011___b32a64375f__char__73b4f3469d,10,47,1.0,1.0,relations_aggregated
pdf_01000000__01001011___b32a64375f,文昭关,01000000,1000000,《戏考》,《戏考》（1000000）,01001011,文昭关,皇甫讷,pdf_01000000__01001011___b32a64375f__char__f030df69b8,9,33,0.9,0.7021,relations_aggregated
pdf_01000000__01001011___b32a64375f,文昭关,01000000,1000000,《戏考》,《戏考》（1000000）,01001011,文昭关,米南适,pdf_01000000__01001011___b32a64375f__char__768b0d2c53,6,24,0.6,0.5106,relations_aggregated
pdf_01000000__01001011___b32a64375f,文昭关,01000000,1000000,《戏考》,《戏考》（1000000）,01001011,文昭关,四青袍,pdf_01000000__01001011___b32a64375f__char__0a5ae5d0c0,6,11,0.6,0.234,relations_aggregated
pdf_01000000__01001011___b32a64375f,文昭关,01000000,1000000,《戏考》,《戏考》（1000000）,01001011,文昭关,伍员,pdf_01000000__01001011___b32a64375f__char__5835435b22,5,26,0.5,0.5532,relations_aggregated
pdf_01000000__01001011___b32a64375f,文昭关,01000000,1000000,《戏考》,《戏考》（1000000）,01001011,文昭关,童儿,pdf_01000000__01001011___b32a64375f__char__30fb62994b,4,7,0.4,0.1489,relations_aggregated
pdf_01000000__01001012___3dcca783f4,黄鹤楼,01000000,1000000,《戏考》,《戏考》（1000000）,01001012,黄鹤楼,刘备,pdf_01000000__01001012___3dcca783f4__char__5b525fe809,14,132,1.0,1.0,relations_aggregated
pdf_01000000__01001012___3dcca783f4,黄鹤楼,01000000,1000000,《戏考》,《戏考》（1000000）,01001012,黄鹤楼,周瑜,pdf_01000000__01001012___3dcca783f4__char__2149bd761d,11,123,0.7857,0.9318,relations_aggregated
pdf_01000000__01001012___3dcca783f4,黄鹤楼,01000000,1000000,《戏考》,《戏考》（1000000）,01001012,黄鹤楼,赵云,pdf_01000000__01001012___3dcca783f4__char__b442522959,11,67,0.7857,0.5076,relations_aggregated
pdf_01000000__01001012___3dcca783f4,黄鹤楼,01000000,1000000,《戏考》,《戏考》（1000000）,01001012,黄鹤楼,诸葛亮,pdf_01000000__01001012___3dcca783f4__char__b788173f9c,10,67,0.7143,0.5076,relations_aggregated
pdf_01000000__01001012___3dcca783f4,黄鹤楼,01000000,1000000,《戏考》,《戏考》（1000000）,01001012,黄鹤楼,鲁肃,pdf_01000000__01001012___3dcca783f4__char__e9a3da3728,6,31,0.4286,0.2348,relations_aggregated
pdf_01000000__01001012___3dcca783f4,黄鹤楼,01000000,1000000,《戏考》,《戏考》（1000000）,01001012,黄鹤楼,甘宁,pdf_01000000__01001012___3dcca783f4__char__f3c917767b,5,15,0.3571,0.1136,relations_aggregated
pdf_01000000__01001012___3dcca783f4,黄鹤楼,01000000,1000000,《戏考》,《戏考》（1000000）,01001012,黄鹤楼,龙套,pdf_01000000__01001012___3dcca783f4__char__43e2704254,5,10,0.3571,0.0758,relations_aggregated
pdf_01000000__01001012___3dcca783f4,黄鹤楼,01000000,1000000,《戏考》,《戏考》（1000000）,01001012,黄鹤楼,刘封,pdf_01000000__01001012___3dcca783f4__char__1119721920,3,6,0.2143,0.0455,relations_aggregated
pdf_01000000__01001012___3dcca783f4,黄鹤楼,01000000,1000000,《戏考》,《戏考》（1000000）,01001012,黄鹤楼,四红龙套,pdf_01000000__01001012___3dcca783f4__char__a7002a5db3,3,4,0.2143,0.0303,relations_aggregated
pdf_01000000__01001012___3dcca783f4,黄鹤楼,01000000,1000000,《戏考》,《戏考》（1000000）,01001012,黄鹤楼,张飞,pdf_01000000__01001012___3dcca783f4__char__4968ffc02e,2,19,0.1429,0.1439,relations_aggregated
pdf_01000000__01001013___2ec29dd171,天水关,01000000,1000000,《戏考》,《戏考》（1000000）,01001013,天水关,诸葛亮,pdf_01000000__01001013___2ec29dd171__char__3c415c8253,17,73,1.0,1.0,relations_aggregated
pdf_01000000__01001013___2ec29dd171,天水关,01000000,1000000,《戏考》,《戏考》（1000000）,01001013,天水关,姜维,pdf_01000000__01001013___2ec29dd171__char__c6acf119f7,14,68,0.8235,0.9315,relations_aggregated
pdf_01000000__01001013___2ec29dd171,天水关,01000000,1000000,《戏考》,《戏考》（1000000）,01001013,天水关,赵云,pdf_01000000__01001013___2ec29dd171__char__624eae5d34,11,31,0.6471,0.4247,relations_aggregated
