doc_id,doc_title,collection_dir,collection_code,collection_name,collection_label,work_code,work_title_hint,line_id,scene_id,source_file,source_path,relative_path,batch_id,scene_index,scene,line_no,row_type,line_category,speaker,speaker_char_id,cue,perform_type,perform_subtype,action_tags,participants,text,raw_line
pdf_01000000__01003010___2fda4a58c1,战蒲关,01000000,1000000,《戏考》,《戏考》（1000000）,01003010,战蒲关,pdf_01000000__01003010___2fda4a58c1__line__000187,pdf_01000000__01003010___2fda4a58c1__scene__003,01003010_战蒲关.pdf,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_dataset\01000000\01003010_战蒲关.pdf,01000000/01003010_战蒲关.pdf,62507f36-aa22-4065-bb0f-f7de69f87e7c,3,【第四场】,187,narration,,,,,说明,,,借粮,借粮。,借粮。
pdf_01000000__01003010___2fda4a58c1,战蒲关,01000000,1000000,《戏考》,《戏考》（1000000）,01003010,战蒲关,pdf_01000000__01003010___2fda4a58c1__line__000189,pdf_01000000__01003010___2fda4a58c1__scene__003,01003010_战蒲关.pdf,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_dataset\01000000\01003010_战蒲关.pdf,01000000/01003010_战蒲关.pdf,62507f36-aa22-4065-bb0f-f7de69f87e7c,3,【第四场】,189,narration,,,,,说明,,,这是你老爷对你讲的么,这是你老爷对你讲的么？,这是你老爷对你讲的么？
pdf_01000000__01003010___2fda4a58c1,战蒲关,01000000,1000000,《戏考》,《戏考》（1000000）,01003010,战蒲关,pdf_01000000__01003010___2fda4a58c1__line__000191,pdf_01000000__01003010___2fda4a58c1__scene__003,01003010_战蒲关.pdf,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_dataset\01000000\01003010_战蒲关.pdf,01000000/01003010_战蒲关.pdf,62507f36-aa22-4065-bb0f-f7de69f87e7c,3,【第四场】,191,narration,,,,,说明,,,正是老爷对小人讲的,正是老爷对小人讲的。,正是老爷对小人讲的。
pdf_01000000__01003010___2fda4a58c1,战蒲关,01000000,1000000,《戏考》,《戏考》（1000000）,01003010,战蒲关,pdf_01000000__01003010___2fda4a58c1__line__000193,pdf_01000000__01003010___2fda4a58c1__scene__003,01003010_战蒲关.pdf,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_dataset\01000000\01003010_战蒲关.pdf,01000000/01003010_战蒲关.pdf,62507f36-aa22-4065-bb0f-f7de69f87e7c,3,【第四场】,193,narration,,,,,说明,,,刘忠,吓，刘忠，你家老爷敢是饿糊涂了。,吓，刘忠，你家老爷敢是饿糊涂了。
pdf_01000000__01003010___2fda4a58c1,战蒲关,01000000,1000000,《戏考》,《戏考》（1000000）,01003010,战蒲关,pdf_01000000__01003010___2fda4a58c1__line__000195,pdf_01000000__01003010___2fda4a58c1__scene__003,01003010_战蒲关.pdf,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_dataset\01000000\01003010_战蒲关.pdf,01000000/01003010_战蒲关.pdf,62507f36-aa22-4065-bb0f-f7de69f87e7c,3,【第四场】,195,narration,,,,,说明,,,老爷饿虽饿；心中倒还明白,老爷饿虽饿，心中倒还明白。,老爷饿虽饿，心中倒还明白。
pdf_01000000__01003010___2fda4a58c1,战蒲关,01000000,1000000,《戏考》,《戏考》（1000000）,01003010,战蒲关,pdf_01000000__01003010___2fda4a58c1__line__000197,pdf_01000000__01003010___2fda4a58c1__scene__003,01003010_战蒲关.pdf,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_dataset\01000000\01003010_战蒲关.pdf,01000000/01003010_战蒲关.pdf,62507f36-aa22-4065-bb0f-f7de69f87e7c,3,【第四场】,197,narration,,,,,说明,,来；道,既然明白；我这里有粮无粮；难道老爷还不知道；怎么与我借粮来呢,既然明白，我这里有粮无粮，难道老爷还不知道，怎么与我借粮来呢？,既然明白，我这里有粮无粮，难道老爷还不知道，怎么与我借粮来呢？
pdf_01000000__01003010___2fda4a58c1,战蒲关,01000000,1000000,《戏考》,《戏考》（1000000）,01003010,战蒲关,pdf_01000000__01003010___2fda4a58c1__line__000199,pdf_01000000__01003010___2fda4a58c1__scene__003,01003010_战蒲关.pdf,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_dataset\01000000\01003010_战蒲关.pdf,01000000/01003010_战蒲关.pdf,62507f36-aa22-4065-bb0f-f7de69f87e7c,3,【第四场】,199,narration,,,,,说明,,,老爷是要夫人……,老爷是要夫人……,老爷是要夫人……
pdf_01000000__01003010___2fda4a58c1,战蒲关,01000000,1000000,《戏考》,《戏考》（1000000）,01003010,战蒲关,pdf_01000000__01003010___2fda4a58c1__line__000201,pdf_01000000__01003010___2fda4a58c1__scene__003,01003010_战蒲关.pdf,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_dataset\01000000\01003010_战蒲关.pdf,01000000/01003010_战蒲关.pdf,62507f36-aa22-4065-bb0f-f7de69f87e7c,3,【第四场】,201,dialogue,,徐艳贞,pdf_01000000__01003010___2fda4a58c1__char__da288cda1a,白,白,白,念白,徐艳贞,到底是要什么?,徐艳贞（白）到底是要什么?
pdf_01000000__01003010___2fda4a58c1,战蒲关,01000000,1000000,《戏考》,《戏考》（1000000）,01003010,战蒲关,pdf_01000000__01003010___2fda4a58c1__line__000201,pdf_01000000__01003010___2fda4a58c1__scene__003,01003010_战蒲关.pdf,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_dataset\01000000\01003010_战蒲关.pdf,01000000/01003010_战蒲关.pdf,62507f36-aa22-4065-bb0f-f7de69f87e7c,3,【第四场】,201,dialogue,,刘忠,pdf_01000000__01003010___2fda4a58c1__char__ddadc41d7a,白,白,白,念白,刘忠,要借粮。,刘忠（白）要借粮。
pdf_01000000__01003010___2fda4a58c1,战蒲关,01000000,1000000,《戏考》,《戏考》（1000000）,01003010,战蒲关,pdf_01000000__01003010___2fda4a58c1__line__000201,pdf_01000000__01003010___2fda4a58c1__scene__003,01003010_战蒲关.pdf,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_dataset\01000000\01003010_战蒲关.pdf,01000000/01003010_战蒲关.pdf,62507f36-aa22-4065-bb0f-f7de69f87e7c,3,【第四场】,201,dialogue,,徐艳贞,pdf_01000000__01003010___2fda4a58c1__char__da288cda1a,白,白,白,念白,徐艳贞,吓。,徐艳贞（白）吓。
pdf_01000000__01003010___2fda4a58c1,战蒲关,01000000,1000000,《戏考》,《戏考》（1000000）,01003010,战蒲关,pdf_01000000__01003010___2fda4a58c1__line__000201,pdf_01000000__01003010___2fda4a58c1__scene__003,01003010_战蒲关.pdf,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_dataset\01000000\01003010_战蒲关.pdf,01000000/01003010_战蒲关.pdf,62507f36-aa22-4065-bb0f-f7de69f87e7c,3,【第四场】,201,dialogue,,刘忠,pdf_01000000__01003010___2fda4a58c1__char__ddadc41d7a,白,白,白,立；念白,刘忠,"夫人吓!老爷在前厅,立等回话。若再迟惧,老爷就要撞死了。","刘忠（白）夫人吓!老爷在前厅,立等回话。若再迟惧,老爷就要撞死了。"
pdf_01000000__01003010___2fda4a58c1,战蒲关,01000000,1000000,《戏考》,《戏考》（1000000）,01003010,战蒲关,pdf_01000000__01003010___2fda4a58c1__line__000201,pdf_01000000__01003010___2fda4a58c1__scene__003,01003010_战蒲关.pdf,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_dataset\01000000\01003010_战蒲关.pdf,01000000/01003010_战蒲关.pdf,62507f36-aa22-4065-bb0f-f7de69f87e7c,3,【第四场】,201,dialogue,,徐艳贞,pdf_01000000__01003010___2fda4a58c1__char__da288cda1a,白,白,白,来；念白,徐艳贞；刘忠,"刘忠,你那宝剑,它、它、它、它是哪里来的吓?","徐艳贞（白）刘忠,你那宝剑,它、它、它、它是哪里来的吓?"
pdf_01000000__01003010___2fda4a58c1,战蒲关,01000000,1000000,《戏考》,《戏考》（1000000）,01003010,战蒲关,pdf_01000000__01003010___2fda4a58c1__line__000201,pdf_01000000__01003010___2fda4a58c1__scene__003,01003010_战蒲关.pdf,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_dataset\01000000\01003010_战蒲关.pdf,01000000/01003010_战蒲关.pdf,62507f36-aa22-4065-bb0f-f7de69f87e7c,3,【第四场】,201,dialogue,,刘忠,pdf_01000000__01003010___2fda4a58c1__char__ddadc41d7a,白,白,白,念白,刘忠,是老爷付与小人的。,刘忠（白）是老爷付与小人的。
pdf_01000000__01003010___2fda4a58c1,战蒲关,01000000,1000000,《戏考》,《戏考》（1000000）,01003010,战蒲关,pdf_01000000__01003010___2fda4a58c1__line__000201,pdf_01000000__01003010___2fda4a58c1__scene__003,01003010_战蒲关.pdf,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_dataset\01000000\01003010_战蒲关.pdf,01000000/01003010_战蒲关.pdf,62507f36-aa22-4065-bb0f-f7de69f87e7c,3,【第四场】,201,dialogue,,徐艳贞,pdf_01000000__01003010___2fda4a58c1__char__da288cda1a,白,白,白,念白,徐艳贞,"哦,是老爷付与你的。","徐艳贞（白）哦,是老爷付与你的。"
pdf_01000000__01003010___2fda4a58c1,战蒲关,01000000,1000000,《戏考》,《戏考》（1000000）,01003010,战蒲关,pdf_01000000__01003010___2fda4a58c1__line__000201,pdf_01000000__01003010___2fda4a58c1__scene__003,01003010_战蒲关.pdf,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_dataset\01000000\01003010_战蒲关.pdf,01000000/01003010_战蒲关.pdf,62507f36-aa22-4065-bb0f-f7de69f87e7c,3,【第四场】,201,dialogue,,刘忠,pdf_01000000__01003010___2fda4a58c1__char__ddadc41d7a,白,白,白,念白,刘忠,正是。,刘忠（白）正是。
pdf_01000000__01003010___2fda4a58c1,战蒲关,01000000,1000000,《戏考》,《戏考》（1000000）,01003010,战蒲关,pdf_01000000__01003010___2fda4a58c1__line__000201,pdf_01000000__01003010___2fda4a58c1__scene__003,01003010_战蒲关.pdf,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_dataset\01000000\01003010_战蒲关.pdf,01000000/01003010_战蒲关.pdf,62507f36-aa22-4065-bb0f-f7de69f87e7c,3,【第四场】,201,dialogue,,徐艳贞,pdf_01000000__01003010___2fda4a58c1__char__da288cda1a,白,白,白,念白,徐艳贞,"付剑之时,对你讲些什么?","徐艳贞（白）付剑之时,对你讲些什么?"
pdf_01000000__01003010___2fda4a58c1,战蒲关,01000000,1000000,《戏考》,《戏考》（1000000）,01003010,战蒲关,pdf_01000000__01003010___2fda4a58c1__line__000201,pdf_01000000__01003010___2fda4a58c1__scene__003,01003010_战蒲关.pdf,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_dataset\01000000\01003010_战蒲关.pdf,01000000/01003010_战蒲关.pdf,62507f36-aa22-4065-bb0f-f7de69f87e7c,3,【第四场】,201,dialogue,,刘忠,pdf_01000000__01003010___2fda4a58c1__char__ddadc41d7a,白,白,白,去；问；道；念白,刘忠,"老爷付剑之时,言道去问二娘借粮。只将宝剑与她,说是不忍,不忍,二娘就明白了。","刘忠（白）老爷付剑之时,言道去问二娘借粮。只将宝剑与她,说是不忍,不忍,二娘就明白了。"
pdf_01000000__01003010___2fda4a58c1,战蒲关,01000000,1000000,《戏考》,《戏考》（1000000）,01003010,战蒲关,pdf_01000000__01003010___2fda4a58c1__line__000201,pdf_01000000__01003010___2fda4a58c1__scene__003,01003010_战蒲关.pdf,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_dataset\01000000\01003010_战蒲关.pdf,01000000/01003010_战蒲关.pdf,62507f36-aa22-4065-bb0f-f7de69f87e7c,3,【第四场】,201,dialogue,,徐艳贞,pdf_01000000__01003010___2fda4a58c1__char__da288cda1a,白,白,白,念白,徐艳贞,这是你老爷讲的?,徐艳贞（白）这是你老爷讲的?
pdf_01000000__01003010___2fda4a58c1,战蒲关,01000000,1000000,《戏考》,《戏考》（1000000）,01003010,战蒲关,pdf_01000000__01003010___2fda4a58c1__line__000201,pdf_01000000__01003010___2fda4a58c1__scene__003,01003010_战蒲关.pdf,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_dataset\01000000\01003010_战蒲关.pdf,01000000/01003010_战蒲关.pdf,62507f36-aa22-4065-bb0f-f7de69f87e7c,3,【第四场】,201,dialogue,,刘忠,pdf_01000000__01003010___2fda4a58c1__char__ddadc41d7a,白,白,白,念白,刘忠,是吓。,刘忠（白）是吓。
pdf_01000000__01003010___2fda4a58c1,战蒲关,01000000,1000000,《戏考》,《戏考》（1000000）,01003010,战蒲关,pdf_01000000__01003010___2fda4a58c1__line__000201,pdf_01000000__01003010___2fda4a58c1__scene__003,01003010_战蒲关.pdf,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_dataset\01000000\01003010_战蒲关.pdf,01000000/01003010_战蒲关.pdf,62507f36-aa22-4065-bb0f-f7de69f87e7c,3,【第四场】,201,dialogue,,徐艳贞,pdf_01000000__01003010___2fda4a58c1__char__da288cda1a,白,白,白,念白,徐艳贞,我明白了。,徐艳贞（白）我明白了。
pdf_01000000__01003010___2fda4a58c1,战蒲关,01000000,1000000,《戏考》,《戏考》（1000000）,01003010,战蒲关,pdf_01000000__01003010___2fda4a58c1__line__000201,pdf_01000000__01003010___2fda4a58c1__scene__003,01003010_战蒲关.pdf,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_dataset\01000000\01003010_战蒲关.pdf,01000000/01003010_战蒲关.pdf,62507f36-aa22-4065-bb0f-f7de69f87e7c,3,【第四场】,201,dialogue,,刘忠,pdf_01000000__01003010___2fda4a58c1__char__ddadc41d7a,白,白,白,来；念白,刘忠,主母明白何来?,刘忠（白）主母明白何来?
pdf_01000000__01003010___2fda4a58c1,战蒲关,01000000,1000000,《戏考》,《戏考》（1000000）,01003010,战蒲关,pdf_01000000__01003010___2fda4a58c1__line__000201,pdf_01000000__01003010___2fda4a58c1__scene__003,01003010_战蒲关.pdf,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_dataset\01000000\01003010_战蒲关.pdf,01000000/01003010_战蒲关.pdf,62507f36-aa22-4065-bb0f-f7de69f87e7c,3,【第四场】,201,dialogue,,徐艳贞,pdf_01000000__01003010___2fda4a58c1__char__da288cda1a,二黄摇板,唱,二黄摇板,来；去,徐艳贞,"你老爷不忍不忍三不忍,不忍割断夫妻情。他是暗含借粮来作引,明明要我骨肉去飨军。","徐艳贞（二黄摇板）你老爷不忍不忍三不忍,不忍割断夫妻情。他是暗含借粮来作引,明明要我骨肉去飨军。"
pdf_01000000__01003010___2fda4a58c1,战蒲关,01000000,1000000,《戏考》,《戏考》（1000000）,01003010,战蒲关,pdf_01000000__01003010___2fda4a58c1__line__000201,pdf_01000000__01003010___2fda4a58c1__scene__003,01003010_战蒲关.pdf,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_dataset\01000000\01003010_战蒲关.pdf,01000000/01003010_战蒲关.pdf,62507f36-aa22-4065-bb0f-f7de69f87e7c,3,【第四场】,201,dialogue,,刘忠,pdf_01000000__01003010___2fda4a58c1__char__ddadc41d7a,白,白,白,念白,刘忠,夫人明鉴明鉴。,刘忠（白）夫人明鉴明鉴。
pdf_01000000__01003010___2fda4a58c1,战蒲关,01000000,1000000,《戏考》,《戏考》（1000000）,01003010,战蒲关,pdf_01000000__01003010___2fda4a58c1__line__000201,pdf_01000000__01003010___2fda4a58c1__scene__003,01003010_战蒲关.pdf,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_dataset\01000000\01003010_战蒲关.pdf,01000000/01003010_战蒲关.pdf,62507f36-aa22-4065-bb0f-f7de69f87e7c,3,【第四场】,201,dialogue,,徐艳贞,pdf_01000000__01003010___2fda4a58c1__char__da288cda1a,白,白,白,念白,徐艳贞,也罢!,徐艳贞（白）也罢!
