doc_id,source_file,source_path,relative_path,batch_id,scene_index,scene,line_no,row_type,line_category,speaker,cue,text,raw_line
pdf_01000000__01001007___1b262d262b,01001007_桑园寄子.pdf,D:\University_studies\Junior\data_visualization\experiment\final\opera_dataset\01000000\01001007_桑园寄子.pdf,01000000/01001007_桑园寄子.pdf,33346438-2940-4c01-ba70-6dc00da87058,0,序幕/前置内容,77,narration,narration,,,"<table><tr><td></td><td></td><td>撇下了年幼儿好不伤情。眼望着孤坟台心痛难忍,见坎台不见弟刀刺我心。</td></tr><tr><td>二家院</td><td>(同白)</td><td>来此坟台。</td></tr><tr><td>邓伯道</td><td>(白)</td><td>祭礼摆下。</td></tr><tr><td colspan=""3"">(二家院同摆祭礼,同下,四青袍同下。)</td></tr><tr><td rowspan=""7"">邓伯道</td><td>(叫头)</td><td>兄弟吓,伯俭!</td></tr><tr><td>(白)</td><td>今当你周年之期,备定祭礼,带领两个孩儿,前来祭奠与你,以表你我手足之情。</td></tr><tr><td>(三叫头)</td><td>兄弟!伯俭!兄弟吓!</td></tr><tr><td>(二黄导板)</td><td>见坟台不由人珠泪滚滚,</td></tr><tr><td>(三叫头)</td><td>兄弟,伯俭,兄弟吓!</td></tr><tr><td>(回龙)</td><td>到叫我年迈兄好不伤情!</td></tr><tr><td>(二黄原板)</td><td>你在世弟兄们一家欢庆,共商量做计较家业同兴。好端端得疾病一旦丧命,一旦丧命,兄弟吓!似黄土埋却了无价的宝珍。</td></tr><tr><td rowspan=""2"">邓元</td><td>(白)</td><td>叔父!</td></tr><tr><td>(二黄原板)</td><td>见爹爹只哭得昏迷不醒,叫一声我叔父细听分明:你死在九泉下好不安静,撇下了我兄弟依靠何人?</td></tr><tr><td rowspan=""4"">邓方</td><td>(三叫头)</td><td>爹爹,我父,爹爹吓!</td></tr><tr><td>(二黄导板)</td><td>在坟前不由我珠泪难忍,</td></tr><tr><td>(三叫头)</td><td>爹爹,我父,爹爹吓!</td></tr><tr><td>(二黄原板)</td><td>见坟台不见儿疼儿爹尊。你死在九泉下好不安静,撇下了我母子依靠何人?</td></tr><tr><td>邓元</td><td>(白)</td><td>咳,爹爹,我要我的叔父。</td></tr><tr><td>邓伯道</td><td>(白)</td><td>哦,儿要儿的叔父么?</td></tr><tr><td>邓元</td><td>(白)</td><td>正是。</td></tr><tr><td>邓伯道</td><td>(白)</td><td>那里面就是儿的叔父,你去叫吓!</td></tr><tr><td>邓元</td><td>(白)</td><td>叔父吓,叔父,侄儿在此叫你!你是怎的不言,怎的不语?</td></tr><tr><td>邓方</td><td>(白)</td><td>嗳,伯父,我要我的爹爹。</td></tr><tr><td>邓伯道</td><td>(白)</td><td>哦,儿要儿的爹爹么?</td></tr><tr><td>邓方</td><td>(白)</td><td>正是。</td></tr><tr><td>邓伯道</td><td>(白)</td><td>那里面就是儿的爹爹,你去叫他出来吓!</td></tr><tr><td>邓方</td><td>(白)</td><td>爹爹吓,爹爹,孩儿在此叫你!你是怎的不言,怎的不语?</td></tr><tr><td rowspan=""2"">邓伯道</td><td>(白)</td><td>兄弟吓,伯俭,这两个孩儿,在此叫你,你是怎的不言,怎的不语?莫非你聋了,你哑了,你你你睡死了?</td></tr><tr><td>(二黄摇板)</td><td>这一个要叔父心痛难忍,那一个要爹爹刀刺我心。望贤弟在阴曹慢慢相等,等候了你的兄一路同行。</td></tr><tr><td colspan=""3"">(四青袍、二家院同上。)</td></tr><tr><td>二家院</td><td>(同白)</td><td>启禀员外:大事不好了!</td></tr><tr><td>邓伯道</td><td>(白)</td><td>何事惊慌?</td></tr><tr><td>二家院</td><td>(同白)</td><td>今有黑水国造反,逢州夺州,遇县抢县,看看杀到我庄来了!</td></tr><tr><td>邓伯道</td><td>(白)</td><td>哎呀,这才是福不双降,祸不单行!儿吓,犹恐你母亲在家悬望,我们快快回去吧!</td></tr><tr><td colspan=""3"">(众人同下。)</td></tr></table>","<table><tr><td></td><td></td><td>撇下了年幼儿好不伤情。眼望着孤坟台心痛难忍,见坎台不见弟刀刺我心。</td></tr><tr><td>二家院</td><td>(同白)</td><td>来此坟台。</td></tr><tr><td>邓伯道</td><td>(白)</td><td>祭礼摆下。</td></tr><tr><td colspan=""3"">(二家院同摆祭礼,同下,四青袍同下。)</td></tr><tr><td rowspan=""7"">邓伯道</td><td>(叫头)</td><td>兄弟吓,伯俭!</td></tr><tr><td>(白)</td><td>今当你周年之期,备定祭礼,带领两个孩儿,前来祭奠与你,以表你我手足之情。</td></tr><tr><td>(三叫头)</td><td>兄弟!伯俭!兄弟吓!</td></tr><tr><td>(二黄导板)</td><td>见坟台不由人珠泪滚滚,</td></tr><tr><td>(三叫头)</td><td>兄弟,伯俭,兄弟吓!</td></tr><tr><td>(回龙)</td><td>到叫我年迈兄好不伤情!</td></tr><tr><td>(二黄原板)</td><td>你在世弟兄们一家欢庆,共商量做计较家业同兴。好端端得疾病一旦丧命,一旦丧命,兄弟吓!似黄土埋却了无价的宝珍。</td></tr><tr><td rowspan=""2"">邓元</td><td>(白)</td><td>叔父!</td></tr><tr><td>(二黄原板)</td><td>见爹爹只哭得昏迷不醒,叫一声我叔父细听分明:你死在九泉下好不安静,撇下了我兄弟依靠何人?</td></tr><tr><td rowspan=""4"">邓方</td><td>(三叫头)</td><td>爹爹,我父,爹爹吓!</td></tr><tr><td>(二黄导板)</td><td>在坟前不由我珠泪难忍,</td></tr><tr><td>(三叫头)</td><td>爹爹,我父,爹爹吓!</td></tr><tr><td>(二黄原板)</td><td>见坟台不见儿疼儿爹尊。你死在九泉下好不安静,撇下了我母子依靠何人?</td></tr><tr><td>邓元</td><td>(白)</td><td>咳,爹爹,我要我的叔父。</td></tr><tr><td>邓伯道</td><td>(白)</td><td>哦,儿要儿的叔父么?</td></tr><tr><td>邓元</td><td>(白)</td><td>正是。</td></tr><tr><td>邓伯道</td><td>(白)</td><td>那里面就是儿的叔父,你去叫吓!</td></tr><tr><td>邓元</td><td>(白)</td><td>叔父吓,叔父,侄儿在此叫你!你是怎的不言,怎的不语?</td></tr><tr><td>邓方</td><td>(白)</td><td>嗳,伯父,我要我的爹爹。</td></tr><tr><td>邓伯道</td><td>(白)</td><td>哦,儿要儿的爹爹么?</td></tr><tr><td>邓方</td><td>(白)</td><td>正是。</td></tr><tr><td>邓伯道</td><td>(白)</td><td>那里面就是儿的爹爹,你去叫他出来吓!</td></tr><tr><td>邓方</td><td>(白)</td><td>爹爹吓,爹爹,孩儿在此叫你!你是怎的不言,怎的不语?</td></tr><tr><td rowspan=""2"">邓伯道</td><td>(白)</td><td>兄弟吓,伯俭,这两个孩儿,在此叫你,你是怎的不言,怎的不语?莫非你聋了,你哑了,你你你睡死了?</td></tr><tr><td>(二黄摇板)</td><td>这一个要叔父心痛难忍,那一个要爹爹刀刺我心。望贤弟在阴曹慢慢相等,等候了你的兄一路同行。</td></tr><tr><td colspan=""3"">(四青袍、二家院同上。)</td></tr><tr><td>二家院</td><td>(同白)</td><td>启禀员外:大事不好了!</td></tr><tr><td>邓伯道</td><td>(白)</td><td>何事惊慌?</td></tr><tr><td>二家院</td><td>(同白)</td><td>今有黑水国造反,逢州夺州,遇县抢县,看看杀到我庄来了!</td></tr><tr><td>邓伯道</td><td>(白)</td><td>哎呀,这才是福不双降,祸不单行!儿吓,犹恐你母亲在家悬望,我们快快回去吧!</td></tr><tr><td colspan=""3"">(众人同下。)</td></tr></table>"
pdf_01000000__01001007___1b262d262b,01001007_桑园寄子.pdf,D:\University_studies\Junior\data_visualization\experiment\final\opera_dataset\01000000\01001007_桑园寄子.pdf,01000000/01001007_桑园寄子.pdf,33346438-2940-4c01-ba70-6dc00da87058,0,序幕/前置内容,79,narration,narration,,,# 【第二场】,# 【第二场】
pdf_01000000__01001007___1b262d262b,01001007_桑园寄子.pdf,D:\University_studies\Junior\data_visualization\experiment\final\opera_dataset\01000000\01001007_桑园寄子.pdf,01000000/01001007_桑园寄子.pdf,33346438-2940-4c01-ba70-6dc00da87058,0,序幕/前置内容,81,stage_direction,stage_direction,,金氏上。,,（金氏上。）
pdf_01000000__01001007___1b262d262b,01001007_桑园寄子.pdf,D:\University_studies\Junior\data_visualization\experiment\final\opera_dataset\01000000\01001007_桑园寄子.pdf,01000000/01001007_桑园寄子.pdf,33346438-2940-4c01-ba70-6dc00da87058,0,序幕/前置内容,83,dialogue,dialogue,金氏,二黄摇板,遭不幸我官人一旦丧命，撇下奴每日里独守孤灯。,金氏 （二黄摇板） 遭不幸我官人一旦丧命，撇下奴每日里独守孤灯。
pdf_01000000__01001007___1b262d262b,01001007_桑园寄子.pdf,D:\University_studies\Junior\data_visualization\experiment\final\opera_dataset\01000000\01001007_桑园寄子.pdf,01000000/01001007_桑园寄子.pdf,33346438-2940-4c01-ba70-6dc00da87058,0,序幕/前置内容,85,stage_direction,stage_direction,,四青袍、二家院、邓元、邓方、邓伯道同上。,,（四青袍、二家院、邓元、邓方、邓伯道同上。）
pdf_01000000__01001007___1b262d262b,01001007_桑园寄子.pdf,D:\University_studies\Junior\data_visualization\experiment\final\opera_dataset\01000000\01001007_桑园寄子.pdf,01000000/01001007_桑园寄子.pdf,33346438-2940-4c01-ba70-6dc00da87058,0,序幕/前置内容,87,dialogue,dialogue,金氏,白,大伯伯回来了。,金氏 （白） 大伯伯回来了。
pdf_01000000__01001007___1b262d262b,01001007_桑园寄子.pdf,D:\University_studies\Junior\data_visualization\experiment\final\opera_dataset\01000000\01001007_桑园寄子.pdf,01000000/01001007_桑园寄子.pdf,33346438-2940-4c01-ba70-6dc00da87058,0,序幕/前置内容,89,dialogue,dialogue,邓伯道,白,弟妇，大事不好了！,邓伯道 （白） 弟妇，大事不好了！
pdf_01000000__01001007___1b262d262b,01001007_桑园寄子.pdf,D:\University_studies\Junior\data_visualization\experiment\final\opera_dataset\01000000\01001007_桑园寄子.pdf,01000000/01001007_桑园寄子.pdf,33346438-2940-4c01-ba70-6dc00da87058,0,序幕/前置内容,91,dialogue,dialogue,金氏,白,何事惊慌？,金氏 （白） 何事惊慌？
pdf_01000000__01001007___1b262d262b,01001007_桑园寄子.pdf,D:\University_studies\Junior\data_visualization\experiment\final\opera_dataset\01000000\01001007_桑园寄子.pdf,01000000/01001007_桑园寄子.pdf,33346438-2940-4c01-ba70-6dc00da87058,0,序幕/前置内容,93,dialogue,dialogue,邓伯道,白,今有黑水国造反，逢州夺州，遇县抢县，看看杀到我庄来了！,邓伯道 （白） 今有黑水国造反，逢州夺州，遇县抢县，看看杀到我庄来了！
pdf_01000000__01001007___1b262d262b,01001007_桑园寄子.pdf,D:\University_studies\Junior\data_visualization\experiment\final\opera_dataset\01000000\01001007_桑园寄子.pdf,01000000/01001007_桑园寄子.pdf,33346438-2940-4c01-ba70-6dc00da87058,0,序幕/前置内容,95,dialogue,dialogue,金氏,白,不好了！,金氏 （白） 不好了！
