doc_id,doc_title,scene_index,scene,source,target,relation_type_raw,relation_type,weight,evidence,evidence_line_ids,derived_by,llm_confidence
pdf_01000000__01003002___acc415186d,群英会,1,【第一场】,周瑜,鲁肃,命令,命令,2,周瑜命鲁肃将书放在后帐战策内,,llm,
pdf_01000000__01003002___acc415186d,群英会,1,【第一场】,周瑜,太史慈,命令,命令,2,周瑜命太史慈为监酒令官，禁止提起孙曹,,llm,
pdf_01000000__01003002___acc415186d,群英会,1,【第一场】,周瑜,黄盖,命令,命令,2,周瑜命黄盖三更时分报军情，附耳授计,,llm,
pdf_01000000__01003002___acc415186d,群英会,1,【第一场】,周瑜,甘宁,命令,命令,2,周瑜命甘宁巡营，各营不许落锁,,llm,
pdf_01000000__01003002___acc415186d,群英会,1,【第一场】,周瑜,众人,命令,命令,1,周瑜令众将官若蒋干逃走不许阻拦,,llm,
pdf_01000000__01003002___acc415186d,群英会,1,【第一场】,蒋干,周瑜,试探,试探,2,蒋干以贺喜为由过江，实为说客,,llm,
pdf_01000000__01003002___acc415186d,群英会,1,【第一场】,鲁肃,周瑜,协助,协助,1,鲁肃告知曹营水军头目为蔡瑁、张允,,llm,
pdf_01000000__01003002___acc415186d,群英会,2,【第二场】,周瑜,黄盖,命令,命令,2,周瑜命黄盖退下，实为演戏。,,llm,
pdf_01000000__01003002___acc415186d,群英会,2,【第二场】,周瑜,蒋干,试探,试探,3,周瑜故意与黄盖密谈，让蒋干听见。,,llm,
pdf_01000000__01003002___acc415186d,群英会,2,【第二场】,蒋干,周瑜,对抗,对抗,2,蒋干盗信逃回，意图破坏周瑜计划。,,llm,
pdf_01000000__01003002___acc415186d,群英会,2,【第二场】,鲁肃,周瑜,协助,协助,2,鲁肃报告蒋干逃走及书信被盗。,,llm,
pdf_01000000__01003002___acc415186d,群英会,2,【第二场】,鲁肃,诸葛亮,提及,提及,1,鲁肃担心计谋瞒不过南阳诸葛。,,llm,
pdf_01000000__01003002___acc415186d,群英会,3,【第三场】,周瑜,诸葛亮,试探,试探,5,周瑜令诸葛亮三日内造箭十万，诸葛亮立军令状,,llm,
pdf_01000000__01003002___acc415186d,群英会,3,【第三场】,诸葛亮,周瑜,协助,协助,3,诸葛亮识破周瑜借刀计，并同意造箭,,llm,
pdf_01000000__01003002___acc415186d,群英会,3,【第三场】,鲁肃,诸葛亮,劝阻,劝阻,2,鲁肃劝诸葛亮不要立军令状,,llm,
pdf_01000000__01003002___acc415186d,群英会,3,【第三场】,周瑜,鲁肃,命令,命令,2,周瑜喝止鲁肃多口，并令其代送诸葛亮,,llm,
pdf_01000000__01003002___acc415186d,群英会,3,【第三场】,曹操,蒋干,询问,询问,2,曹操问蒋干周瑜降意如何,,llm,
pdf_01000000__01003002___acc415186d,群英会,3,【第三场】,蒋干,曹操,汇报,汇报,3,蒋干汇报周瑜不降，并提及机密,,llm,
pdf_01000000__01003002___acc415186d,群英会,3,【第三场】,蔡中,周瑜,投降,投降,3,蔡中蔡和以报兄仇为由投降东吴,,llm,
pdf_01000000__01003002___acc415186d,群英会,3,【第三场】,周瑜,蔡中,接纳,接纳,3,周瑜称赞二人弃暗投明，并拨给甘宁帐下,,llm,
pdf_01000000__01003002___acc415186d,群英会,3,【第三场】,周瑜,甘宁,命令,命令,2,周瑜令甘宁收管蔡中蔡和，日后有用,,llm,
